"Academic and student service building
water fountain locations",,,,,,,,Buildings List,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Building,Floor,Latitude,Longitude,Has bottle filling station?,Filter status,"Physical location(e.g.
near elevator, next to room 1120)",,Name,"Number of
fountains",Completed?
,,,,,,,,,,
Blair Hall,1,37°16′13″ N,76°42′41″ W,No,,Across from elevator - Out of service,,Adair Hall,4,TRUE
,2,"37°16'17"" N","76°42'42"" W",No,,Next to women's bathroom,,Andrews Hall,4,TRUE
,3,"37°16'17"" N","76°42'42"" W",No,,Next to women's bathroom,,Blow Memorial Hall,4,TRUE
Blow Hall,1,37 16 18N,76 42 40W,No,,In social sciences research center ,,Boswell Hall,4,TRUE
,1,37.272454,-76.711096,Yes,Green,Next to elevator,,Campus Center,4,FALSE
,2,37.272454,-76.711096,Yes,Green,Next to elevator ,,Chancellors Hall,4,TRUE
,3,37.272454,-76.711096,No,,Next to elevator ,,Cohen Career Center,,FALSE
Tucker Hall,B,37 16 17 N,76 42 36 W,No,,Next to linguistics lab - room 020,,College Apartments,,TRUE
,1,37 16 17,76 42 36,Yes,Green,Next to men's restroom,,Ewell Hall,3,TRUE
,2,37 16 18,76 42 36,No,,Next to women,,Integrated Science Center,17,FALSE
Chancellor's ,1,37 16 17,76 42 39,Yes,Yellow,"Near women's restroom, outside room 123",,James Blair Hall,3,TRUE
,2,37 16 17 ,76 42 38,No,,Across from elevator,,Jones Hall,,TRUE
,3,,,No,,Across from elevator,,Law School,,FALSE
,4,,,No,,Next to 425,,McGlothin-Street Hall,4,TRUE
Ewell ,1,37 16 13 ,76 42 36,Yes,Red,Next to elevator and women's restroom,,Miller Hall,6,TRUE
,B,,,No,,Next to men's restroom ,,Sadler Center,,FALSE
,2,37 16 12 N,76 42 36 W,Yes,Green,Next to elevator and women's restrooms,,School of Education,,FALSE
Washington,1,,,,,,,Small Hall,11,TRUE
,2,37 16 13 N,76 42 39 W,Yes,Green,Next to men's restroom,,Student Health Center,,FALSE
,3,,,No,,Next to men's restroom,,Student Recreation Center,,FALSE
McGlothlin-Street,G,37 16 12,76 42 42,Yes,Yellow,"Across from room 1, near lecture hall ",,Swem Library,9,TRUE
,1,37 16 12,76 42 43,Yes,Green,"Near room 104C, down main hallway ",,Tucker Hall,3,TRUE
,2,,,Yes,Green,Near room 207,,Washington Hall,3,TRUE
,3,37 16 13 N,,Yes ,Green,,,Wren Building,1,TRUE
Campus Center,1,37 16 9 N,76 42 31 W,Yes,Green ,Under the Haven sign,,,,
,B,37 16 12 N,76 42 29 W,No,,Near student publication lab and elevator,,,,
,2,,,No,,Across from elevator,,,,
,2,37 16 11 N,76 42 30 W,,,Near student organizations suite ,,,,
Wren,2,37 15 16 N,76 42 32 W,Yes,Green,Near classroom 301 and men's bathroom,,,,
ISC,1,,,Yes,Green,Next to big lecture hall ,,,,
,1,,,Yes,Green,Next to bathrooms near 1127 lecture hall,,,,
,1,,,Yes,Red,Next to bathrooms at end of psych hallway ,,,,
,1,,,Yes,Green,Across from chem library ,,,,
,1,,,No,,By bathrooms in ISC 3,,,,
,2,,,No,,Next to elevator by walkway to ISC 3,,,,
,2,,,Yes,N/A,In chem lounge by elevator,,,,
,2,,,No,,At end of walkway between ISC 2 and 3,,,,
,2,,,No,,Near ISC 3 east stairwell,,,,
,2,,,No,,By bathrooms in ISC 3,,,,
